file,duration_seconds,duration_hms,gender,interview_year,birth_year,landkreis
Achsheim I-4941.exb,963.459,0:16:03,male,1959,1890,A
Achsheim I-4942.exb,646.604,0:10:47,male,1959,1926,A
Achsheim I-4943.exb,938.289,0:15:38,male,1959,1912,A
Achstetten I-352.exb,740.722,0:12:21,male,1955,1891,BC
Achstetten I-353.exb,526.483,0:08:46,female,1955,1919,BC
Achstetten I-354.exb,554.833,0:09:15,male,1955,1932,
Adelberg I-782.exb,629.602,0:10:30,male,1955,1889,GP
Adelberg I-783.exb,728.987,0:12:09,male,1955,1974,GP
Ailingen I-305.exb,621.609,0:10:22,male,1955,1889,FN
Ailingen I-306.exb,722.762,0:12:03,male,1955,1880,FN
Ailingen I-307.exb,761.309,0:12:41,female,1955,1936,FN
Ailingen I-5000.exb,370.953,0:06:11,female,1959,1936,FN
Alfdorf I-5475.exb,2730.216,0:45:30,male,1964,1904,WN
Alfdorf I-5476.exb,1046.143,0:17:26,female,1964,1903,WN
Altheim XI-168.exb,1893.410,0:31:33,female,1968,1893,UL
Arlesried I-364.exb,720.912,0:12:01,female,1955,1912,MN
Arlesried I-366.exb,674.701,0:11:15,male,1955,1887,MN
Arlesried I-367.exb,581.899,0:09:42,male,1955,1935,MN
Asselfingen XI-165.exb,816.378,0:13:36,female,1968,1924,UL
Attenhausen I-4970.exb,627.380,0:10:27,male,1959,1883,GZ
Attenhausen I-4971.exb,692.932,0:11:33,male,1959,1922,GZ
Attenhausen I-4972.exb,431.626,0:07:12,female,1959,1887,GZ
Attenhausen I-4973.exb,501.606,0:08:22,male,1959,1906,GZ
Auggen XI-233.exb,1166.059,0:19:26,male,1970,1937,FR
Auggen XI-234.exb,1454.103,0:24:14,male,1970,1901,FR
Auggen XI-235.exb,917.060,0:15:17,female,1970,1902,FR
Aulendorf I-299.exb,557.389,0:09:17,male,1955,1893,RV
Aulendorf I-302.exb,622.358,0:10:22,male,1955,1934,RV
Aulendorf I-304.exb,680.498,0:11:20,male,1955,1901,RV
Bachenau I-5482.exb,1504.423,0:25:04,male,1964,1898,HN
Bachenau I-5483.exb,709.921,0:11:50,male,1964,1882,HN
Bachenau I-5484.exb,687.906,0:11:28,male,1964,1929,HN
Baiersbronn I-5017.exb,472.285,0:07:52,male,1959,1872,FDS
Baiersbronn I-5018.exb,391.181,0:06:31,male,1959,1882,FDS
Baiersbronn I-5019.exb,231.789,0:03:52,female,1959,1881,FDS
Baiersbronn I-5020.exb,254.461,0:04:14,male,1959,1890,FDS
Baiersbronn I-5021.exb,238.806,0:03:59,female,1959,1873,FDS
Baiersbronn I-5022.exb,266.326,0:04:26,female,1959,1886,FDS
Balgheim I-5470.exb,1228.837,0:20:29,female,1964,1915,DON
Ballendorf XI-166.exb,1177.861,0:19:38,male,1968,1930,UL
Ballendorf XI-167.exb,803.877,0:13:24,male,1968,1898,UL
Ballersdorf I-4899.exb,563.412,0:09:23,female,1959,1891,ND
Ballersdorf I-4900.exb,777.153,0:12:57,male,1959,1922,ND
Ballersdorf I-4901.exb,602.895,0:10:03,male,1959,1883,ND
Bartholomä I-5432.exb,3611.295,1:00:11,male,1964,1882,AA
Bebenhausen I-169.exb,562.744,0:09:23,male,1955,1877,TÜ
Bebenhausen I-170.exb,600.958,0:10:01,female,1955,1935,TÜ
Bebenhausen I-171.exb,613.178,0:10:13,female,1955,1915,TÜ
Beimbach I-818.exb,680.700,0:11:21,male,1955,1876,SHA
Beimbach I-819.exb,725.338,0:12:05,female,1955,1908,SHA
Beimbach I-820.exb,502.175,0:08:22,female,1955,1936,SHA
Beimbach I-821.exb,1546.920,0:25:47,male,,,SHA
Beltersrot I-5493.exb,495.005,0:08:15,female,1964,1911,KÜN
Beltersrot I-5494.exb,600.964,0:10:01,female,1964,1886,KÜN
Beltersrot I-5495.exb,796.725,0:13:17,male,1964,1904,KÜN
Beltersrot I-5496.exb,1168.535,0:19:29,female,1964,1887,KÜN
Beltersrot I-5497.exb,728.862,0:12:09,male,1964,1892,KÜN
Berlichingen I-5503.exb,947.281,0:15:47,male,1964,1927,KÜN
Berlichingen I-5504.exb,1418.823,0:23:39,male,1964,1890,KÜN
Berlichingen I-5505.exb,978.575,0:16:19,female,1964,1906,KÜN
Beuren I-328.exb,607.669,0:10:08,male,1955,1890,RV
Beuren I-329.exb,855.164,0:14:15,male,1955,1910,RV
Beuren I-330.exb,486.942,0:08:07,male,1955,1927,RV
Beyerberg I-5459.exb,719.379,0:11:59,female,1964,1897,AN
Beyerberg I-5460.exb,810.537,0:13:31,male,1964,1896,AN
Beyerberg I-5461.exb,690.715,0:11:31,female,1964,1933,AN
Biberach I-282.exb,451.006,0:07:31,male,1955,1893,BC
Biberach I-283.exb,549.424,0:09:09,male,1955,1914,BC
Biberach I-284.exb,493.603,0:08:14,male,1955,1878,BC
Biberach I-285.exb,559.516,0:09:20,female,1955,1908,BC
Biberach I-286.exb,352.885,0:05:53,female,1955,1934,BC
Bittelbronn I-183.exb,591.838,0:09:52,male,1955,1885,FDS
Bittelbronn I-184.exb,660.773,0:11:01,male,1955,1903,FDS
Bittelbronn I-185.exb,691.130,0:11:31,female,1955,1939,FDS
Blankenburg I-4905.exb,640.639,0:10:41,male,1959,1888,A
Blankenburg I-4907.exb,715.597,0:11:56,male,1959,1925,A
Blankenburg I-4909.exb,1069.650,0:17:50,male,1959,1901,A
Bondorf I-174.exb,612.528,0:10:13,male,1955,1880,BB
Bondorf I-175.exb,581.079,0:09:41,female,1955,1941,BB
Bondorf I-176.exb,608.565,0:10:09,male,1955,1919,BB
Brettach I-731.exb,560.828,0:09:21,male,1955,1902,HN
Brettach I-732.exb,616.708,0:10:17,female,1955,1939,HN
Brombach B-29.exb,634.960,0:10:35,male,1977,1941,LÖ
Bräunisheim I-711.exb,1184.019,0:19:44,male,1955,1878,UL
Bräunisheim I-712.exb,466.015,0:07:46,male,1955,1899,UL
Bräunisheim I-713.exb,643.392,0:10:43,female,1955,1932,UL
Buchau I-288.exb,632.087,0:10:32,male,1955,1914,BC
Buchau I-289.exb,609.108,0:10:09,male,1955,1883,BC
Buchau I-290.exb,528.710,0:08:49,female,1955,1935,BC
Buttenhausen I-249.exb,533.908,0:08:54,female,1955,1886,RT
Buttenhausen I-253.exb,458.001,0:07:38,male,1955,1923,RT
Buttenhausen I-254.exb,583.598,0:09:44,female,1955,1942,RT
Böhen I-370.exb,593.757,0:09:54,male,1955,1889,MN
Böhen I-373.exb,554.283,0:09:14,male,1955,1907,MN
Böhen I-375.exb,510.905,0:08:31,male,1955,1932,MN
Böhmenkirch I-5428.exb,688.232,0:11:28,female,1964,1941,GP
Böhmenkirch I-5429.exb,616.621,0:10:17,female,1964,1877,GP
Böhmenkirch I-5430.exb,595.843,0:09:56,male,1964,1931,GP
Böhmenkirch I-5431.exb,531.097,0:08:51,female,1964,1893,GP
Bühl I-4922.exb,500.676,0:08:21,female,1959,1890,GZ
Bühl I-4923.exb,301.259,0:05:01,female,1959,1937,GZ
Bühl I-4924.exb,316.982,0:05:17,female,1959,1939,GZ
Bühl I-4925.exb,433.053,0:07:13,male,1959,1896,GZ
Daxlanden XI-277.exb,1668.800,0:27:49,male,1987,1911,KA
Deilingen XI-222.exb,976.304,0:16:16,female,1969,1929,TUT
Deilingen XI-223.exb,841.352,0:14:01,male,1969,1901,TUT
Deilingen XI-224.exb,1052.828,0:17:33,female,1969,1931,TUT
Deilingen XI-225.exb,773.074,0:12:53,female,1969,1899,TUT
Deilingen XI-226.exb,1020.029,0:17:00,female,1969,1928,TUT
Deilingen XI-227.exb,2867.541,0:47:48,male,1969,1898,TUT
Deilingen XI-228.exb,700.410,0:11:40,male,1969,1961,TUT
Deilingen XI-229.exb,1178.339,0:19:38,female,1969,1927,TUT
Dettingen I-672.exb,962.546,0:16:03,male,1955,1891,HDH
Dettingen I-673.exb,725.565,0:12:06,male,1955,1904,HDH
Dettingen I-675.exb,611.663,0:10:12,male,1955,1929,HDH
Diepoldshofen I-337.exb,602.319,0:10:02,male,1955,1897,RV
Diepoldshofen I-338.exb,666.438,0:11:06,male,1955,1910,RV
Diepoldshofen I-339.exb,682.887,0:11:23,male,1955,1935,RV
Dietenheim XI-182.exb,907.703,0:15:08,male,1968,1929,UL
Donaustetten XI-177.exb,526.621,0:08:47,female,1968,1884,UL
Donaustetten XI-178.exb,580.690,0:09:41,female,1968,1892,UL
Donaustetten XI-179.exb,718.291,0:11:58,female,1968,1928,UL
Donaustetten XI-180.exb,1161.072,0:19:21,male,1968,1894,UL
Donaustetten XI-181.exb,677.454,0:11:17,male,1968,1934,UL
Dornstadt I-5453.exb,1204.070,0:20:04,male,1964,1896,UL
Dornstadt I-5454.exb,2885.768,0:48:06,male,1964,1894,UL
Dornstadt I-5455.exb,887.202,0:14:47,female,1964,1907,UL
Döttingen I-5499.exb,1300.703,0:21:41,female,1964,1889,SHA
Dühren XI-273.exb,1007.906,0:16:48,female,1987,1919,HD
Ellenberg I-5465.exb,860.650,0:14:21,male,1964,1901,AA
Ellenberg I-5466.exb,830.659,0:13:51,female,1964,1926,AA
Emerkingen I-274.exb,537.563,0:08:58,female,1955,1904,UL
Emerkingen I-275.exb,642.126,0:10:42,male,1955,1888,UL
Emerkingen I-278.exb,640.786,0:10:41,female,1955,1934,UL
Erdmannhausen I-761.exb,819.507,0:13:40,female,1955,1878,LB
Erdmannhausen I-762.exb,664.333,0:11:04,male,1955,1898,LB
Erdmannhausen I-763.exb,632.631,0:10:33,female,1955,1924,LB
Erkenbrechtsweiler I-236.exb,590.573,0:09:51,male,1955,1880,ES
Erkenbrechtsweiler I-237.exb,631.417,0:10:31,female,1955,1920,ES
Erkenbrechtsweiler I-239.exb,626.001,0:10:26,female,1955,1928,ES
Eschach I-700.exb,537.538,0:08:58,male,1955,1935,AA
Eschach I-701.exb,602.277,0:10:02,female,1955,1894,AA
Eschach I-702.exb,774.097,0:12:54,male,,,AA
Eschenau I-799.exb,668.222,0:11:08,male,1955,1884,SHA
Eschenau I-800.exb,839.241,0:13:59,male,1955,1906,SHA
Eschenau I-801.exb,571.463,0:09:31,male,1955,1935,SHA
Ettenhausen I-814.exb,616.437,0:10:16,female,1955,1914,SHA
Ettenhausen I-815.exb,616.616,0:10:17,male,1955,1884,SHA
Ettenhausen I-817.exb,819.341,0:13:39,female,1955,1940,SHA
Flein I-5510.exb,1032.062,0:17:12,female,1964,1901,HN
Flein I-5511.exb,580.912,0:09:41,female,1964,1932,HN
Flein I-5512.exb,1523.819,0:25:24,male,1964,1898,HN
Flein I-5513.exb,678.204,0:11:18,male,1964,1929,HN
Flochberg I-694.exb,671.895,0:11:12,male,1955,1874,AA
Flochberg I-695.exb,469.561,0:07:50,female,1955,1895,AA
Flochberg I-696.exb,538.212,0:08:58,male,1955,1922,AA
Forst XI-270.exb,1002.320,0:16:42,male,1987,1931,KA
Forst XI-271.exb,681.626,0:11:22,female,1987,1932,KA
Frankenbach I-5487.exb,1225.552,0:20:26,female,1964,1909,HN
Frankenbach I-5488.exb,1227.711,0:20:28,male,1964,1914,HN
Frauenriedhausen I-4917.exb,972.758,0:16:13,male,1959,1887,DLG
Frauenriedhausen I-4918.exb,585.250,0:09:45,female,1959,1918,DLG
Frauenriedhausen I-4919.exb,1170.067,0:19:30,female,1959,1933,DLG
Frommenhausen K-30.exb,907.459,0:15:07,male,1963,1911,
Gellmersbach I-5489.exb,1159.227,0:19:19,female,1964,1889,HN
Gellmersbach I-5490.exb,1143.182,0:19:03,female,1964,1934,HN
Gellmersbach I-5491.exb,778.054,0:12:58,female,1964,1911,HN
Gellmersbach I-5492.exb,745.491,0:12:25,male,1964,1955,HN
